Nombre,Comunidad_Autonoma,Provincia/Zona,Distancia_aprox_km,Precio_parcela_noche_eur,Precio_persona_adulto_eur,Precio_coche_eur,Precio_luz_eur,Descripcion_y_que_tiene
Camping Osuna,Madrid,Madrid capital,20,8,5,4,4,Junto a Barajas. Minimercado zona baile parque infantil parque canino
Camping Ciudad de Madrid,Madrid,Madrid capital,25,9,5,4,4,En Casa de Campo. Restaurante supermercado piscina muy urbano
Camping Arco Iris,Madrid,Villaviciosa de Odon,30,10,6,4,4,Dos piscinas suites jacuzzi bungalows parada de bus
Camping Aranjuez,Madrid,Aranjuez,40,9,5,3,4,Junto a jardines y palacio entretenimiento adultos animacion ninos
Camping El Escorial Resort,Madrid,El Escorial,50,12,6,4,5,Tres piscinas una climatizada tobogan grande bungalows
Camping Monte Holiday,Madrid,Guadarrama,85,10,6,4,4,Parcelas piscina parque aventuras tirolina restaurante
Camping Doremor,Madrid,Cabanillas de la Sierra,55,8,5,3,4,Cerca sierra de la Cabrera ambiente tranquilo familiar
Camping La Fresneda,Madrid,Soto del Real,75,9,5,4,4,Bosques y montanas piscina area recreativa rutas btt
Camping El Rio,Madrid,San Martin de Valdeiglesias,70,8,5,3,4,Junto al Tormes piscina naturaleza embalse cerca
Camping El Picachuelo,Madrid,Sierra Norte,90,9,5,4,4,Especializado deportes de aventura barranquismo escalada
Camping Cervera de Buitrago,Madrid,Sierra Norte,80,8,5,3,4,Bungalows pueblo con encanto entorno rural
Camping San Juan,Madrid,Nuevo Baztan,60,8,5,3,4,Senderismo y aventura entorno montanoso
Camping Pico Miel,Madrid,Bustarviejo,65,8,5,3,4,Cerca pico de la Miel naturaleza tranquila
Glamping The Teepee,Castilla y Leon,Mombeltran Avila,150,45,incluido,incluido,incluido,Cabanas teepee dobles bano privado cocina comun pareja
Camping Batanes,Castilla y Leon,Miranda del Castanar Salamanca,250,9,5,3,4,Entorno rural sierra de Francia piscina naturaleza
Camping Puerta de Gredos,Castilla y Leon,Navarredonda de Gredos,180,9,5,3,4,A los pies de Gredos senderismo escalada clima fresco
Camping Segovia,Castilla y Leon,Segovia,100,10,5,4,4,Cerca acueducto piscina bungalows familia
Camping Riaza,Castilla y Leon,Riaza Segovia,120,9,5,3,4,Sierra de Ayllon naturaleza tranquila pinares
Camping Salamanca,Castilla y Leon,Salamanca,220,10,5,4,4,Junto al Tormes cerca casco historico
Camping Aranda de Duero,Castilla y Leon,Aranda de Duero Burgos,180,9,5,3,4,Ribera del Duero zona de bodegas
Camping Burgos,Castilla y Leon,Burgos,240,10,5,4,4,Cerca catedral bien comunicado con la ciudad
Camping Sanabria,Castilla y Leon,Lago de Sanabria Zamora,340,9,5,3,4,Junto al lago glaciar mas grande de la peninsula
Camping Covaleda,Castilla y Leon,Sierra de Urbion Soria,220,8,5,3,4,Pinares de Urbion cerca laguna Negra
Camping Leon,Castilla y Leon,Leon,340,10,5,4,4,Bien comunicado con la capital leonesa
Camping Toledo,Castilla La Mancha,Toledo Vega del Tajo,75,10,5,4,4,Vistas al Alcazar piscina zona verde junto al rio
Camping Ciudad Encantada,Castilla La Mancha,Cuenca,200,9,5,3,4,Junto al paraje karstico piscina senderismo naturaleza
Camping Rio Mundo,Castilla La Mancha,Riopar Albacete,300,8,5,3,4,Cerca del nacimiento del rio Mundo cascadas piscina
Camping Bosque Aventura,Castilla La Mancha,Serrania de Cuenca,190,9,5,3,4,Tirolinas rutas 4x4 entorno pinar
Camping Alarcon,Castilla La Mancha,Alarcon Cuenca,220,9,5,3,4,Junto al embalse pueblo medieval sobre penasco
Camping Almagro,Castilla La Mancha,Almagro Ciudad Real,220,9,5,3,4,Casco historico manchego corral de comedias cerca
Camping Lagunas de Ruidera,Castilla La Mancha,Ruidera Ciudad Real,260,10,5,4,4,Parque natural lagunas encadenadas piscina natural cerca
Camping Consuegra,Castilla La Mancha,Consuegra Toledo,120,8,5,3,4,Molinos de viento ruta del Quijote
Camping Guadalajara,Castilla La Mancha,Guadalajara,60,8,5,3,4,Cerca del Henares bien comunicado con Madrid
Camping Sigüenza,Castilla La Mancha,Sigüenza Guadalajara,130,8,5,3,4,Ciudad medieval catedral y castillo
Camping Trujillo,Extremadura,Caceres,290,9,5,3,4,Cerca casco historico piscina parcelas amplias
Camping Caceres,Extremadura,Caceres,300,10,5,4,4,Naturista familiar piscina zonas verdes bien comunicado
Camping Merida,Extremadura,Badajoz,350,10,5,4,4,Junto al Guadiana ruinas romanas cercanas piscina
Camping Monfrague,Extremadura,Parque Nacional Monfrague,270,9,5,3,4,Observacion de aves buitres rutas naturaleza
